1999-11-12,90.62
1999-11-19,92.44
1999-11-26,95.06
1999-12-03,115
1999-12-10,103
1999-12-17,100
1999-12-23,103.5
1999-12-31,102.81
2000-01-07,99.5
2000-01-14,100.44
2000-01-21,111.31
2000-01-28,101.62
2000-02-04,108
2000-02-11,108.75
2000-02-18,111.25
2000-02-25,110.37
2000-03-03,128
2000-03-10,125.75
2000-03-17,125
2000-03-24,138.69
2000-03-31,135.81
2000-04-07,131.75
2000-04-14,111.87
2000-04-20,118.87
2000-04-28,124.06
2000-05-05,113.12
2000-05-12,107.62
2000-05-19,94
2000-05-26,86.37
2000-06-02,92.56
2000-06-09,95.75
2000-06-16,91.19
2000-06-23,51.69
2000-06-30,52.38
2000-07-07,54.44
2000-07-14,57.69
2000-07-21,53.56
2000-07-28,48.31
2000-08-04,47.38
2000-08-11,47.69
2000-08-18,50
2000-08-25,56.81
2000-09-01,63.44
2000-09-08,58.88
2000-09-15,55.23
2000-09-22,52.19
2000-09-29,25.75
2000-10-06,22.19
2000-10-13,22.06
2000-10-20,19.5
2000-10-27,18.56
2000-11-03,22.25
2000-11-10,19.06
2000-11-17,18.5
2000-11-24,19.31
2000-12-01,17.06
2000-12-08,15.06
2000-12-15,14.06
2000-12-22,15
2000-12-29,14.88
2001-01-05,16.37
2001-01-12,17.19
2001-01-19,19.5
2001-01-26,19.56
2001-02-02,20.62
2001-02-09,19.12
2001-02-16,19
2001-02-23,18.81
2001-03-02,19.25
2001-03-09,20.25
2001-03-16,19.62
2001-03-23,23
2001-03-30,22.07
2001-04-06,20.59
2001-04-12,22.42
2001-04-20,25.04
2001-04-27,26.2
2001-05-04,25.75
2001-05-11,22.85
2001-05-18,23.53
2001-05-25,22.76
2001-06-01,20.89
2001-06-08,21.32
2001-06-15,20.44
2001-06-22,22.26
2001-06-29,23.25
2001-07-06,22.03
2001-07-13,24.85
2001-07-20,19.98
2001-07-27,18.96
2001-08-03,19.5
2001-08-10,19.02
2001-08-17,18.07
2001-08-24,18.57
2001-08-31,18.55
2001-09-07,17.28
2001-09-10,17.37
2001-09-21,15.73
2001-09-28,15.51
2001-10-05,16.14
